"iso3","year","publicOrderSafetySpendingLcu","publicOrderSafetySpendingPctGdp","publicOrderSafetySpendingPerCapitaPpp","oecdAccidentalPoisoningDeathsPer100k","wbUnintentionalPoisoningDeathsPer100k","spendingCurrency"
"AUS","1998","10174000000","1.723668","420.339204","3.6",,"AUD"
"AUS","1999","10460000000","1.679196","428.713724","5.4",,"AUD"
"AUS","2000","11799000000","1.777378","472.51275","4.2","0.37","AUD"
"AUS","2001","12968000000","1.829664","506.592964","3.1","0.27","AUD"
"AUS","2002","13946000000","1.840607","535.249203","2.8","0.3","AUD"
"AUS","2003","15334000000","1.906161","575.036272","3.3","0.43","AUD"
"AUS","2004","16079000000","1.857832","591.060158","3.6","0.37","AUD"
"AUS","2005","17477000000","1.885471","623.896872",,"0.28","AUD"
"AUS","2006","19948000000","1.992192","695.080344","3.5","0.24","AUD"
"AUS","2007","21512000000","1.971668","723.763095","3.7","0.2","AUD"
"AUS","2008","23068000000","1.951215","733.969089","4.1","0.18","AUD"
"AUS","2009","24784000000","1.958412","791.873962","4.6","0.14","AUD"
"AUS","2010","26171000000","1.999992","790.084203","4.3","0.15","AUD"
"AUS","2011","27525000000","1.934362","815.387937","4.5","0.23","AUD"
"AUS","2012","27768000000","1.844098","793.096101","4.2","0.16","AUD"
"AUS","2013","28497000000","1.845998","851.438326","4.6","0.22","AUD"
"AUS","2014","30297000000","1.886116","888.522608","5.5","0.16","AUD"
"AUS","2015","31702000000","1.943969","903.257341","5.6","0.15","AUD"
"AUS","2016","33457000000","2.010104","953.71831","6.1","0.15","AUD"
"AUS","2017","36516000000","2.069255","1004.930197","6.3","0.13","AUD"
"AUS","2018","39194000000","2.119822","1067.780395","6.4","0.15","AUD"
"AUS","2019","41896000000","2.142815","1133.245596","5.9","0.12","AUD"
"AUS","2020","44592000000","2.241924","1214.767641","6.2","0.15","AUD"
"AUS","2021","47309000000","2.262481","1319.646729","5.3","0.12","AUD"
"AUS","2022","49842000000","2.132824","1409.864292","5.8",,"AUD"
"AUS","2023","52744000000","2.046711","1479.21325","4.7",,"AUD"
"AUT","1995","2646250000","1.504261","355.066084","1.9",,"EUR"
"AUT","1996","2729540000","1.503532","367.264107","1.8",,"EUR"
"AUT","1997","2825670000","1.504787","380.720799","1.3",,"EUR"
